Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Técnica (product.metafields.custom.technique),Materiales (product.metafields.custom.materials),Tiempo de producción (product.metafields.custom.lead_time),Badge (product.metafields.custom.badge),Destacado (product.metafields.custom.is_popular),Permite personalización (product.metafields.custom.allow_custom_text),Indicaciones de personalización (product.metafields.custom.custom_text_placeholder)
tote-bag-educando-maestro,"Tote Bag Algodón ""Educando con el Corazón""","Bolso resistente y espacioso para cargar carpetas y libros escolares, con ilustración tipográfica personalizada.",Nenúfar,,Textiles,"maestro, Estampado DTF con Fibras Elásticas, Práctico",TRUE,Acabado,Default Title,445210984006,,,,deny,manual,14,TRUE,TRUE,https://images.unsplash.com/photo-1597484661643-2f5fef640dd1?auto=format&fit=crop&w=800&q=80,1,"Tote Bag Algodón ""Educando con el Corazón""",active,Estampado DTF con Fibras Elásticas,Lona de algodón 280g con bolsillo interior,24 horas,Práctico,false,true,Ej: Nombre de la profesora
esfera-3d-madera-acrilico-navidad,Esfera Multicapa 3D Madera & Acrílico Espejo,Nuestra esfera más vendida: silueta calada con el nombre de cada miembro de la familia o mascota en relieve reflectivo.,Nenúfar,,Decoración Navideña,"navidad, Corte Láser Milimétrico Multicapa, Bestseller Navideño",TRUE,Acabado,Acrílico Espejo Oro + Madera,445210985001,,,,deny,manual,6.5,TRUE,TRUE,https://images.unsplash.com/photo-1543258103-a62bdc069871?auto=format&fit=crop&w=800&q=80,1,Esfera Multicapa 3D Madera & Acrílico Espejo,active,Corte Láser Milimétrico Multicapa,Chapa de abedul báltico y acrílico espejo oro o plata con lazo de terciopelo,24 a 48 horas,Bestseller Navideño,true,true,"Ej: Nombres: Camila, Papá, Mamá, Toby (perrito)"
esfera-3d-madera-acrilico-navidad,,,,,,,,Acabado,Acrílico Espejo Plata + Madera,445210985002,,,,deny,manual,6.5,TRUE,TRUE,,,,active,,,,,,,
esfera-3d-madera-acrilico-navidad,,,,,,,,Acabado,Acrílico Rosa Gold + Madera,445210985003,,,,deny,manual,7,TRUE,TRUE,,,,active,,,,,,,
caja-regalo-corporativa-fin-de-ano,"Caja Regalo Corporativa ""Agradecimiento""","Kit completo de fin de año con termo grabado con logo, libreta corporativa y esfera personalizada para cada colaborador de la empresa.",Nenúfar,,Kits Corporativos,"navidad, Grabado Láser en Caja Madera + Termo y Libreta, Especial Empresas",TRUE,Acabado,Default Title,445210985004,,,,deny,manual,36,TRUE,TRUE,https://images.unsplash.com/photo-1549465220-1a8b9238cd48?auto=format&fit=crop&w=800&q=80,1,"Caja Regalo Corporativa ""Agradecimiento""",active,Grabado Láser en Caja Madera + Termo y Libreta,"Caja de pino natural deslizable, viruta decorativa y sello lacrado",3 a 5 días hábiles,Especial Empresas,true,true,Ej: Logotipo de empresa y lista de nombres
calendario-perpetuo-roble-navidad,Calendario Perpetuo de Escritorio en Roble,Pieza atemporal para el escritorio con el logo de tu marca o apellido familiar. Nunca pierde vigencia y se ajusta mes a mes.,Nenúfar,,Mobiliario & Marcas,"navidad, Corte y Grabado Láser de Alta Precisión, Atemporal",TRUE,Acabado,Default Title,445210985005,,,,deny,manual,19,TRUE,TRUE,https://images.unsplash.com/photo-1506784983877-45594efa4cbe?auto=format&fit=crop&w=800&q=80,1,Calendario Perpetuo de Escritorio en Roble,active,Corte y Grabado Láser de Alta Precisión,Madera de roble macizo y fichas de acrílico grabado pulido,48 horas,Atemporal,false,true,Ej: Logo o Monograma Familiar
copa-brindis-grabada-navidad,Copa de Brindis con Grabado Permanente,"Copa estilizada para el brindis de año nuevo con copos de nieve, año 2026 y nombres grabados con acabado esmerilado suave.",Nenúfar,,Cristalería Fina,"navidad, Grabado Rotativo Láser en Cristal, Brindis Fin de Año",TRUE,Acabado,Default Title,445210985006,,,,deny,manual,13,TRUE,TRUE,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?auto=format&fit=crop&w=800&q=80,1,Copa de Brindis con Grabado Permanente,active,Grabado Rotativo Láser en Cristal,Cristal templado fino de flauta o cóctel,24 horas,Brindis Fin de Año,false,true,Ej: Brindis Familia Santos • 2026
adorno-primera-navidad-bebe,"Adorno Árbol ""Primera Navidad Juntos / Bebé""","Recuerdo entrañable para celebrar la primera navidad de casados, de novios o la bienvenida del nuevo bebé de la familia.",Nenúfar,,Decoración Navideña,"navidad, Corte Láser en Relieve y Acrílico Pastel, Recuerdo Tierno",TRUE,Acabado,Default Title,445210985007,,,,deny,manual,8.5,TRUE,TRUE,https://images.unsplash.com/photo-1512909006721-3d6018887383?auto=format&fit=crop&w=800&q=80,1,"Adorno Árbol ""Primera Navidad Juntos / Bebé""",active,Corte Láser en Relieve y Acrílico Pastel,Madera de haya y acrílico blanco lechoso con fecha grabada,24 horas,Recuerdo Tierno,false,true,Ej: «Nuestra 1ra Navidad: Lucas • 2026»
botella-vino-grabada-navidad,Botella de Vino con Grabado en Cristal y Caja Kraft,Grabado directo sobre el cristal de la botella con mensaje de celebración o logotipo corporativo para obsequiar a clientes y socios.,Nenúfar,,Regalos Gourmet,"navidad, Grabado Láser Cilíndrico Directo, Gourmet",TRUE,Acabado,Default Title,445210985008,,,,deny,manual,25,TRUE,TRUE,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?auto=format&fit=crop&w=800&q=80,1,Botella de Vino con Grabado en Cristal y Caja Kraft,active,Grabado Láser Cilíndrico Directo,Botella de vidrio oscuro con caja protectora personalizada,48 horas,Gourmet,false,true,Ej: «Feliz Navidad y Próspero 2026 • Nexo Corp»
libro-firmas-madera-bodas,Libro de Firmas en Madera con Lomo Artesanal,Portada en madera con nombres entrelazados y fecha de la boda. Hojas gruesas perfectas para dedicatorias y fotos instantáneas.,Nenúfar,,Bodas & Aniversarios,"bodas, Corte Láser Relieve y Encuadernación con Cuero, Pieza de Colección",TRUE,Acabado,Default Title,445210986001,,,,deny,manual,38,TRUE,TRUE,https://images.unsplash.com/photo-1513519245088-0e12902e5a38?auto=format&fit=crop&w=800&q=80,1,Libro de Firmas en Madera con Lomo Artesanal,active,Corte Láser Relieve y Encuadernación con Cuero,Madera de nogal americano y 80 hojas de papel algodón 240g,3 a 4 días,Pieza de Colección,true,true,Ej: Mariana & David • 18 de Octubre 2026
placa-natalicia-bebe,Placa Natalicia Bebé con Datos de Nacimiento,"Hermosa placa decorativa para la habitación del recién nacido con peso, altura, hora y fecha de nacimiento tallados con precisión.",Nenúfar,,Bebé & Maternidad,"bodas, Corte Láser en Relieve 3D Acrílico Pastel, Regalo Natalicio",TRUE,Acabado,Default Title,445210986002,,,,deny,manual,22,TRUE,TRUE,https://images.unsplash.com/photo-1518895949257-7621c3c786d7?auto=format&fit=crop&w=800&q=80,1,Placa Natalicia Bebé con Datos de Nacimiento,active,Corte Láser en Relieve 3D Acrílico Pastel,Disco de madera de 20cm con nombre en acrílico 3D y datos grabados,48 horas,Regalo Natalicio,false,true,Ej: Valentina • 14 Mayo 2026 • 3.4kg • 50cm
cuadro-mapa-estelar-acrilico,Cuadro Mapa Estelar & Canción de Spotify Acrílico,"La alineación exacta de las estrellas del día en que se conocieron, junto con la onda de sonido y código de Spotify escaneable de su canción.",Nenúfar,,Aniversario & Amor,"bodas, Corte Láser + Grabado Inverso con Base de Luz Cálida, Luz Cálida LED",TRUE,Acabado,Default Title,445210986003,,,,deny,manual,29,TRUE,TRUE,https://images.unsplash.com/photo-1518895949257-7621c3c786d7?auto=format&fit=crop&w=800&q=80,1,Cuadro Mapa Estelar & Canción de Spotify Acrílico,active,Corte Láser + Grabado Inverso con Base de Luz Cálida,Acrílico fundido 5mm y peana de roble macizo con LED USB,48 horas,Luz Cálida LED,true,true,"Ej: Ciudad, Fecha exacta y enlace a la canción"
set-duo-copas-novios,Set Dúo Copas de Novios con Monograma Grabado,El par perfecto para el brindis nupcial grabado con las iniciales o nombres de la pareja y la fecha de su unión.,Nenúfar,,Bodas & Aniversarios,"bodas, Grabado Rotativo Láser en Cristal, Dúo Nupcial",TRUE,Acabado,Default Title,445210986004,,,,deny,manual,26,TRUE,TRUE,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?auto=format&fit=crop&w=800&q=80,1,Set Dúo Copas de Novios con Monograma Grabado,active,Grabado Rotativo Láser en Cristal,2 Copas de cristal europeo para champán en estuche de regalo,24 a 48 horas,Dúo Nupcial,false,true,Ej: M & D • 2026
